                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1805,                 5.6216,                 1.4266,                      0,                      0,                      0,                      0,                 1.7736,                 6.0571,                 1.3924,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.8594,                 5.4027,                  1.172,                0.00059,                0.17647,                0.00042,                0.00024,                 1.7686,                 5.9192,                 1.2416,             0.00013931,             0.00013931,             0.00013931
                      3,                 1.9886,                 4.1249,                 1.0754,                0.00294,                0.88235,                0.00751,                0.00319,                 2.0301,                 5.6207,                 1.1298,             0.00021782,             0.00021782,             0.00021782
                      4,                 1.9074,                 3.4606,                 1.0929,                0.00314,                0.94118,                0.00885,                0.00418,                 1.6125,                 4.9131,                 1.0093,             0.00029554,             0.00029554,             0.00029554
                      5,                  1.767,                 3.1883,                 1.0776,                0.00314,                0.94118,                0.00906,                0.00354,                   1.63,                 4.9295,                 1.0091,             0.00037248,             0.00037248,             0.00037248
                      6,                 1.7008,                 2.8946,                 1.0521,                0.00314,                0.94118,                0.00994,                0.00321,                 1.4878,                  4.793,                0.96681,             0.00044862,             0.00044862,             0.00044862
                      7,                 1.7984,                 2.8555,                 1.1258,                0.00294,                0.88235,                0.01069,                0.00479,                 1.4647,                 4.7509,                0.96632,             0.00052396,             0.00052396,             0.00052396
                      8,                 1.5972,                 2.5861,                  1.061,                0.00333,                      1,                0.02012,                0.00804,                 1.4831,                 4.6443,                0.97874,             0.00059852,             0.00059852,             0.00059852
                      9,                  1.659,                 2.8965,                  1.094,                0.00314,                0.94118,                0.06234,                0.02429,                 1.5587,                 4.6485,                  1.072,             0.00067228,             0.00067228,             0.00067228
                     10,                  1.776,                 2.9601,                 1.1228,                0.00314,                0.94118,                0.00495,                0.00211,                 1.5686,                 4.8479,                 1.0657,             0.00074525,             0.00074525,             0.00074525
                     11,                 1.8605,                 2.8659,                 1.1808,                0.00275,                0.82353,                0.00383,                0.00175,                 1.4205,                 5.1216,                 1.0269,             0.00081743,             0.00081743,             0.00081743
                     12,                 1.7469,                 2.3376,                 1.1995,                0.00275,                0.82353,                0.00308,                0.00152,                 1.5299,                 4.6595,                 1.0392,             0.00088882,             0.00088882,             0.00088882
                     13,                 1.8678,                 2.4746,                 1.1103,                0.00275,                0.82353,                0.00279,                0.00083,                 1.6642,                 4.6741,                 1.1049,             0.00095941,             0.00095941,             0.00095941
                     14,                 1.8438,                 2.3283,                 1.1976,                0.00255,                0.76471,                0.00251,                0.00104,                 1.4233,                 4.4119,                 1.0591,              0.0010292,              0.0010292,              0.0010292
                     15,                 1.8183,                 2.2022,                 1.1592,                0.00294,                0.88235,                0.00364,                0.00175,                 1.6974,                 4.3387,                 1.1556,              0.0010982,              0.0010982,              0.0010982
                     16,                 1.7666,                 2.6326,                 1.1604,                0.00294,                0.88235,                0.00359,                 0.0017,                  1.646,                 4.2197,                 1.1051,              0.0011664,              0.0011664,              0.0011664
                     17,                 1.7307,                 2.2012,                 1.1584,                0.00333,                      1,                0.12316,                0.07575,                 1.5027,                  4.035,                 1.0853,              0.0012339,              0.0012339,              0.0012339
                     18,                 1.6593,                 1.8869,                 1.1071,                0.00314,                0.94118,                0.40417,                0.23283,                 1.5543,                 3.8999,                 1.1514,              0.0013005,              0.0013005,              0.0013005
                     19,                 1.7402,                 2.0705,                 1.1974,                0.00314,                0.94118,                0.69819,                0.31945,                 1.6138,                 3.5691,                 1.2005,              0.0013664,              0.0013664,              0.0013664
                     20,                 1.6471,                 1.8664,                 1.1966,                0.00314,                0.94118,                0.85774,                0.37997,                 1.6158,                 3.2748,                 1.2094,              0.0014314,              0.0014314,              0.0014314
                     21,                 1.8438,                 2.0042,                 1.1885,                0.97389,                0.64706,                0.72708,                0.36751,                 1.6321,                  3.249,                  1.166,              0.0014957,              0.0014957,              0.0014957
                     22,                 1.6414,                 1.9295,                 1.2067,                0.72976,                0.63602,                0.77688,                0.35544,                 1.6471,                 2.8449,                 1.2037,              0.0015591,              0.0015591,              0.0015591
                     23,                 1.7493,                  2.016,                 1.2139,                0.79329,                0.67824,                0.81325,                0.41205,                 1.5732,                 2.9074,                  1.167,              0.0016218,              0.0016218,              0.0016218
                     24,                 1.6037,                 1.9544,                 1.1766,                0.70703,                0.88235,                0.77972,                0.48346,                 1.3668,                  2.683,                 1.0825,              0.0016837,              0.0016837,              0.0016837
                     25,                 1.6764,                 1.9193,                 1.1466,                0.76388,                0.94118,                  0.915,                 0.5065,                 1.3694,                  2.358,                 1.0909,              0.0017448,              0.0017448,              0.0017448
                     26,                 1.5357,                 1.6529,                 1.0736,                0.77546,                0.81312,                 0.8496,                 0.5109,                 1.3996,                 2.1137,                 1.0977,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.4338,                 1.5222,                 1.0466,                0.92874,                0.82353,                0.86254,                0.48587,                  1.574,                  1.966,                 1.1075,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.6296,                 1.6038,                 1.1472,                0.88565,                0.91204,                0.93252,                0.48169,                 1.5109,                 2.0812,                 1.0795,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5982,                 1.5807,                 1.0769,                0.91915,                0.88235,                0.96109,                0.51124,                 1.4545,                 1.8659,                  1.078,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.5923,                 1.5133,                 1.1526,                0.96256,                0.82353,                0.95742,                0.50985,                 1.5465,                 1.7963,                 1.1183,              0.0017228,              0.0017228,              0.0017228
                     31,                  1.784,                 1.7228,                 1.1531,                 0.9096,                0.88235,                0.96858,                0.50857,                 1.5209,                 1.8101,                  1.096,              0.0017129,              0.0017129,              0.0017129
                     32,                  1.595,                 1.5495,                 1.1151,                0.90819,                0.94118,                0.95449,                0.53376,                 1.5223,                 1.7765,                 1.0939,               0.001703,               0.001703,               0.001703
                     33,                 1.5924,                 1.6826,                 1.1527,                0.92664,                0.94118,                 0.9749,                0.51628,                 1.5486,                 1.6585,                 1.1085,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.5444,                 1.5934,                 1.1221,                 0.9741,                0.94118,                 0.9875,                 0.5108,                  1.615,                 1.5222,                 1.1005,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.7235,                 1.5328,                 1.1261,                0.98321,                0.88235,                 0.9785,                0.55237,                 1.5462,                 1.5264,                 1.0702,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4082,                 1.3497,                 1.0182,                0.97925,                0.88235,                0.93561,                0.55673,                 1.4083,                 1.4954,                 1.0326,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.5669,                   1.48,                  1.123,                 0.9098,                0.88235,                0.92716,                0.53264,                 1.4897,                 1.5067,                 1.0785,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.5518,                 1.3332,                 1.0836,                0.99448,                0.94118,                0.94508,                0.50125,                 1.5033,                 1.5274,                 1.0849,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.6415,                  1.682,                 1.1879,                0.98408,                0.94118,                0.94518,                0.56401,                 1.3906,                 1.4594,                 1.0223,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.5331,                 1.3827,                 1.0489,                0.96801,                0.94118,                0.94553,                0.59811,                 1.3384,                 1.4567,                 1.0094,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.5605,                 1.2592,                 1.0952,                0.96043,                0.94118,                0.97242,                0.63517,                 1.2913,                 1.4118,                 1.0019,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.5291,                 1.4057,                 1.0318,                0.98215,                0.94118,                0.96389,                0.62652,                 1.3573,                 1.3769,                 1.0381,               0.001604,               0.001604,               0.001604
                     43,                 1.4739,                 1.3439,                 1.0322,                0.99913,                0.94118,                0.96432,                0.58555,                 1.4749,                 1.3335,                 1.0817,              0.0015941,              0.0015941,              0.0015941
                     44,                  1.565,                 1.3379,                 1.0562,                0.96409,                0.88235,                0.96842,                0.52717,                 1.5437,                 1.3671,                 1.0901,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.4492,                 1.3131,                 1.0582,                0.98417,                0.94118,                   0.97,                0.53278,                   1.54,                 1.3426,                 1.0905,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.5655,                 1.1818,                 1.0738,                0.96891,                0.94118,                0.97536,                0.53384,                 1.4411,                 1.2788,                 1.0631,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.5785,                   1.17,                 1.1003,                0.92794,                0.94118,                0.96097,                0.57895,                 1.3573,                 1.2753,                 1.0416,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.4671,                 1.2046,                 1.0783,                0.93482,                0.94118,                0.97769,                0.56548,                 1.4974,                 1.2487,                 1.1126,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.6536,                 1.1492,                 1.0682,                 0.9932,                      1,                  0.995,                0.55031,                  1.568,                 1.2494,                  1.144,              0.0015347,              0.0015347,              0.0015347
                     50,                  1.641,                 1.1577,                 1.0791,                0.99343,                      1,                  0.995,                0.58321,                 1.5729,                 1.1655,                 1.1181,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.4857,                 1.0439,                 1.1029,                0.93564,                0.94118,                0.97305,                 0.5651,                 1.5814,                 1.1781,                 1.1128,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.6417,                  1.241,                 1.0819,                0.99195,                      1,                  0.995,                0.56205,                 1.5391,                 1.2564,                 1.0971,               0.001505,               0.001505,               0.001505
                     53,                 1.4426,                 1.0869,                 1.0164,                0.96378,                      1,                  0.995,                0.56664,                  1.592,                 1.2935,                  1.138,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.4807,                 1.0495,                 1.0441,                0.88666,                 0.9211,                0.96625,                0.52749,                 1.6232,                 1.2978,                  1.167,              0.0014852,              0.0014852,              0.0014852
                     55,                  1.312,                 1.0471,                  1.023,                0.93343,                0.88235,                0.95453,                0.50281,                 1.5501,                 1.3127,                 1.1624,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.4287,                 1.0299,                 1.0313,                   0.88,                0.94118,                0.94862,                0.55507,                 1.4489,                 1.2326,                 1.1143,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.2634,                 0.9741,                0.96341,                0.93612,                0.94118,                0.98397,                0.61877,                 1.4243,                 1.1216,                  1.102,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.3668,                0.92187,                0.99499,                0.93624,                0.94118,                0.98044,                0.56289,                 1.4885,                 1.0779,                 1.1507,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.4446,                0.89243,                 1.0276,                0.93696,                0.94118,                0.98621,                0.58156,                 1.4547,                 1.0993,                 1.1354,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.4352,                  1.021,                 1.1141,                0.94073,                0.93402,                0.92756,                0.54528,                 1.4708,                 1.1101,                 1.1588,              0.0014258,              0.0014258,              0.0014258
